,Unnamed: 0,user_id,tweet_id,location,source,hashtags
148,2497,1008923222979428357,1190027724640964614,Korea,Twitter for Android,['지민']
149,2506,1032559123336851456,1190027729950957570,日本,Twitter for iPhone,"['BTSLoveMyself', 'BTS', '방탄소년단']"
150,2514,1140748599229206528,1190027738708615169,Korea,Twitter for iPhone,"['BTS', 'JHOPE', 'JUNGKOOK']"
151,2518,966501442960814080,1190027741753679874,Philippines,Twitter for Android,
152,2571,1109554846649204737,1190027785475166210,Brasil,Twitter for Android,
153,2605,1132813527872364552,1190027808577392640,Brasil,Twitter for iPhone,"['MAMAVOTE', 'bts']"
154,2612,979906654220234753,1190027813488861184,United States,Twitter for iPad,"['MAMAVOTE', 'BTS']"
155,2622,1126319229244923904,1190027820078161922,México,Twitter for Android,
156,2662,890431142,1190027847819087874,Indonesia,Twitter for Android,"['bts', '방탄소년단', 'Jhope', 'jhope', '정호석', '호석', '제이홉']"
157,2669,1189171581630607363,1190027853426937856,Korea,Twitter for iPhone,"['정국', 'JUNGKOOK', 'RM', 'BTS']"
158,2726,936857789988708352,1190027892929024001,Korea,Twitter for Android,"['방탄소년단', '태형', '태형사랑해', '태태', '뷔', 'V', 'Taehyung', 'SYSFINAL', 'BTS']"
159,2751,3233882718,1190027906803740674,United States,Twitter for iPad,['BTSxTarget']
160,2758,1089582119049969664,1190027910389936128,United States,Twitter for iPhone,['BTS']
161,2775,810492454965153792,1190027920829550597,Korea,Twitter for iPhone,"['SUGA', '슈가', 'BTS']"
162,2790,985348758417231872,1190027933232041985,日本,Twitter for iPhone,
163,2819,278310767,1190027952844496896,Korea,Twitter for Android,"['Halloween', '할로윈', 'JIMIN', '지민', 'V', '뷔']"
164,2832,823913766911807488,1190027963191967744,Malaysia,Twitter for Android,
165,2833,1113926947069812736,1190027963452006400,Korea,Twitter for Android,"['BTSLoveMyself', 'BTS', '방탄소년단']"
166,2855,992030451303727104,1190027976462651392,日本,Twitter for iPhone,"['MAMAVOTE', 'bts']"
167,2863,1028800118781366272,1190027987326029824,México,Twitter for Android,"['MAMAVOTE', 'BTS']"
168,2864,1118555251638984705,1190027988261314561,United States,Twitter for iPhone,['BTSarmy']
169,2913,703276082703802369,1190028026815356928,Brasil,Twitter Web App,
170,2993,1022720635280093184,1190028094893154305,Korea,Twitter for iPad,
171,3022,867150991975526400,1190028121317228548,Korea,Twitter for iPhone,
172,3038,2912231747,1190028134655156230,Brasil,Twitter for Android,['BTSxTarget']
173,3043,828351816593141761,1190028136106397696,Indonesia,Twitter for Android,['UKArmy']
174,3077,996027777479467008,1190028155521839110,Philippines,Twitter for Android,"['MAMAVOTE', 'BTS']"
175,3084,1174521896211075072,1190028164220755968,日本,Twitter for iPhone,"['MAMAVOTE', 'bts']"
176,3094,1069550116153905152,1190028170403237888,Philippines,Twitter for Android,"['MAMAVOTE', 'BTS']"
177,3099,208424417,1190028175629262848,Korea,Twitter for Android,"['BTS', '방탄소년단', 'JIMIN', '지민']"
178,3115,923709363176345601,1190028186916184065,Korea,Twitter for Android,"['MAMAVOTE', 'bts']"
179,3128,953765588827975680,1190028200711086081,Korea,Twitter for Android,"['MAMAVOTE', 'BTS']"
180,3131,1109352713655967746,1190028206251757568,日本,Twitter for iPhone,"['ARMYさんと繋がりたい', 'ARMYと繋がりたい']"
181,3134,1028577286209978368,1190028207749304323,United States,Twitter for iPhone,
182,3141,858711261311156226,1190028211452862467,Indonesia,Twitter for Android,"['MAMAVOTE', 'BTS']"
183,3154,937627357203939328,1190028219199700992,Indonesia,Twitter for Android,"['방탄소년단', 'BTS']"
184,3191,999544547402137600,1190028244923211776,Vietnam,Twitter for Android,['UKArmy']
185,3216,1050032312748896256,1190028264062038016,United States,Twitter for iPhone,
186,3236,855596521823141888,1190028278280708096,Indonesia,Twitter for Android,"['정국', 'JUNGKOOK', 'BTS']"
187,3257,980344628057550848,1190028294273548291,Korea,Twitter for Android,"['정국', '방탄소년단', 'BTS', 'JUNGKOOK']"
188,3300,975299286031261696,1190028330315190273,Korea,Twitter for Android,"['뷔', 'V', 'taehyung', '태형', '김태형', '태태', '방탄소년단', 'BTS']"
189,3303,2331411432,1190028331825143808,Philippines,Twitter for iPhone,"['JIMIN', 'BTS']"
190,3312,1167827013081677824,1190028339643371521,Brasil,Twitter for Android,"['JIMIN', 'BTS']"
191,3314,41746356,1190028340847169538,United States,Twitter for iPhone,"['JIMIN', '지민', 'BTS', '방탄소년단']"
192,3321,836965327057510400,1190028347029409792,Thailand,Twitter for iPhone,"['MAMAVOTE', 'bts']"
193,3325,857512065002463232,1190028352133967872,Korea,Twitter for Android,
194,3345,1018703712200478721,1190028362145771520,Indonesia,Twitter for Android,"['방탄소년단', 'BTS', '지민', 'JIMIN', 'JM', '태형', 'V']"
195,3363,962865654079488000,1190028379539607554,Korea,Twitter for Android,"['halloween2019', 'happpyhalloween', 'BTS']"
196,3387,858283402109239296,1190028397830762496,Indonesia,Twitter for Android,
197,3430,1090211836778049541,1190028428571009024,Indonesia,Twitter for Android,"['방탄소년단', '뷔', '태형', 'BTS', 'V', 'TAEHYUNG']"
198,3463,1030647497520119810,1190028451945832449,Korea,Twitter for Android,"['MAMAVOTE', 'bts']"
199,3479,840383109463973888,1190028462318407681,México,Twitter for Android,
200,3487,1015471809926320128,1190028471097004032,Malaysia,Twitter for iPhone,['BTS']
201,3532,729112918562766848,1190028503024095232,United States,Twitter for iPhone,
202,3543,1113371325446348800,1190028511718920193,Indonesia,Twitter for Android,"['MAMAVOTE', 'BTS']"
203,3557,929716889151873024,1190028522523254784,Indonesia,Twitter for Android,"['뷔', '김태형', 'BTSV', '슈가', '민윤기', 'SUGA', 'BTS']"
204,3558,818770836312047616,1190028522942808066,Thailand,Twitter for iPhone,"['BTS', 'SUGA', '민윤기', 'SOPE']"
205,3582,4723952000,1190028542211510272,Korea,Twitter for Android,
206,3598,996677854111842305,1190028550226636800,日本,Twitter for iPhone,
207,3660,1036418001371901953,1190028599333707777,México,Twitter for iPad,"['MAMAVOTE', 'BTS']"
208,3674,1047326847791452160,1190028607789420545,Brasil,Twitter for Android,"['BTS', 'MAMAVOTE']"
209,3684,1012221315032289280,1190028615519363072,Indonesia,Twitter for Android,
210,3716,3020538799,1190028636650385411,Korea,Twitter for Android,
211,3720,1017016146984235008,1190028640995594240,Malaysia,Twitter for Android,['BTS']
212,3734,3230494796,1190028651284312071,Malaysia,Twitter for iPhone,['JIMIN']
213,3738,1067563590977122304,1190028652345483264,Indonesia,Twitter for iPhone,
214,3774,1065622764101414913,1190028681495793665,日本,Twitter for iPhone,"['MAMAVOTE', 'bts']"
215,3821,837977257146605568,1190028716094709761,Korea,Twitter for Android,"['정국', 'JUNGKOOK', 'RM', 'BTS']"
216,3842,1029748633950806016,1190028729004675072,Philippines,Twitter for Android,"['방탄소년단', 'BTS']"
217,3860,864263203106115584,1190028743290638336,United States,Twitter for iPhone,['BTS']
218,3873,801985210392965121,1190028750722916352,México,Twitter for Android,"['BTS', '방탄소년단', 'MakeItRight']"
219,3885,1036765372047867905,1190028759593816064,México,Twitter for Android,"['지민', 'JIMIN', 'BTS', '방탄소년단']"
220,3920,993998866906140672,1190028793446064128,日本,Twitter for iPhone,"['BTS', 'Lights', 'BoyWithLove']"
221,3928,1023493843017068545,1190028798051401729,Vietnam,Twitter for Android,"['JIMIN', 'BTS']"
222,3950,2398459218,1190028811917840384,Brasil,Twitter for Android,"['MAMAVOTE', 'BTS']"
223,3957,3390011585,1190028817714339848,United States,Twitter for iPhone,"['halloween2019', 'happpyhalloween', 'BTS']"
224,3994,3891443182,1190028844813705222,United States,Twitter for iPhone,"['JIMIN', 'BTS']"
225,4007,903847074248114176,1190028856087986176,Korea,Twitter for Android,"['MAMAVOTE', 'bts']"
226,4012,1097475857759711233,1190028862194733056,Indonesia,Twitter for Android,"['2019MAMA', '방탄소년단', 'BTS', 'BTS']"
227,4056,1137177041512460288,1190028905543016449,日本,Twitter for iPhone,"['MAMAVOTE', 'bts']"
228,4071,1093230029494984704,1190028916481839110,Brasil,Twitter for Android,"['BTS', 'ARMY']"
229,4093,1001031544780156929,1190028939370082305,Korea,Twitter for iPhone,"['MAMAVOTE', 'BTS']"
230,4105,1077354469313122309,1190028947561553920,United States,Twitter for iPhone,"['MAMAVOTE', 'BTS']"
231,4117,996246906912178176,1190028959624380416,日本,Twitter for iPhone,"['MAMAVOTE', 'bts']"
232,4119,1151132348731101185,1190028963470598144,Korea,Twitter for Android,"['MAMAVOTE', 'BTS']"
233,4141,881727748326162432,1190028978880438273,Brasil,Twitter for Android,"['Namjin', 'MAMAVOTE', 'BTS']"
234,4202,3385151277,1190029026334822408,México,Twitter for Android,"['BTS', 'Gloss']"
235,4205,1103631317147607042,1190029028692037633,Indonesia,Twitter for Android,['UKArmy']
236,4223,938147513172815872,1190029038942863361,Korea,Twitter for iPhone,"['뷔', 'V', 'taehyung', '태형', '김태형', '태태', '방탄소년단', 'BTS', '防弾少年団', 'BTSV']"
237,4234,1109446605109751808,1190029045582331904,日本,Twitter for iPhone,"['JIMIN', 'BTS']"
238,4236,918950250123091968,1190029046928887808,México,Twitter Web Client,"['MAMAVOTE', 'BTS']"
239,4252,1066299576796266497,1190029059310391296,Brasil,Twitter for iPhone,"['BTS', 'MAMAVOTE']"
240,4265,1153508636766851072,1190029068797800448,Korea,Twitter for iPhone,"['정호석', '제이홉', 'JHOPE', '박지민', '지민', 'JIMIN', '방탄소년단', 'BTS']"
241,4267,832599378699309056,1190029072178515971,Philippines,Twitter for Android,['UKArmy']
242,4275,762712840285192192,1190029077425590274,México,Twitter for Android,
243,4286,1131560748528873472,1190029087265476608,Brasil,Twitter for iPhone,['BTS']
244,4299,1153084178549768192,1190029094890680320,Korea,Twitter for Android,"['2019MAMA', 'BTS', '방탄소년단']"
245,4304,4897205304,1190029097180622848,Philippines,Twitter for iPhone,['BTS']
246,4354,922361748291588096,1190029129829232640,Malaysia,Twitter for Android,"['JIMIN', 'BTS']"
247,4389,997690380320567296,1190029155448045570,日本,Twitter for iPhone,"['MAMAVOTE', 'bts']"
248,4460,1146793730986270721,1190029211748175876,México,Twitter for Android,['ChickenNoodleSoup']
249,4471,768625438855946240,1190029223584505862,United States,Twitter for iPhone,
250,4497,915668814934585344,1190029242131566592,Philippines,Twitter for Android,
251,4511,1151987564242329600,1190029256342016006,Indonesia,Twitter for Android,"['MAMAVOTE', 'bts']"
252,4532,100673443,1190029278932619265,Indonesia,Twitter for iPhone,
253,4535,869232259395706880,1190029281235222531,United States,Twitter for iPhone,['BTS']
254,4572,1120434464361013250,1190029310834495488,México,Twitter Web App,
255,4608,1087548643391922176,1190029339435438081,Indonesia,Twitter for Android,"['halloween2019', 'happpyhalloween', 'BTS']"
256,4655,1159240238004355073,1190029380342472705,Brasil,Twitter Web App,"['MAMAVOTE', 'BTS']"
257,4657,968079071220350977,1190029381239885824,Indonesia,Twitter for Android,"['MAMAVOTE', 'BTS']"
258,4726,1028445037590441984,1190029443969863680,México,Twitter for Android,"['김남준', 'RM', 'MAMAVOTE', 'BTS']"
259,4727,1049639228399734784,1190029443424817153,Indonesia,Twitter for iPhone,
260,4740,1094279976415830016,1190029457526001666,México,Twitter for Android,
