;user_id;tweet_id;location;source;hashtags
3094;1069550116153905152;1190028170403237888;??;Twitter for Android;'MAMAVOTE', 'BTS'
3099;208424417;1190028175629262848;????;Twitter for Android;'BTS', '?????', 'JIMIN', '??'
3115;923709363176345601;1190028186916184065;???? ??;Twitter for Android;'MAMAVOTE', 'bts'
3128;953765588827975680;1190028200711086081;????;Twitter for Android;'MAMAVOTE', 'BTS'
3131;1109352713655967746;1190028206251757568;??;Twitter for iPhone;'ARMY????????', 'ARMY??????'
3134;1028577286209978368;1190028207749304323;United States;Twitter for iPhone;
3141;858711261311156226;1190028211452862467;Indonesia;Twitter for Android;'MAMAVOTE', 'BTS'
3154;937627357203939328;1190028219199700992;Indonesia;Twitter for Android;'?????', 'BTS'
3191;999544547402137600;1190028244923211776;Viet Nam;Twitter for Android;'UKArmy'
3216;1050032312748896256;1190028264062038016;United States;Twitter for iPhone;
3236;855596521823141888;1190028278280708096;Indonesia;Twitter for Android;'??', 'JUNGKOOK', 'BTS'
3257;980344628057550848;1190028294273548291;????;Twitter for Android;'??', '?????', 'BTS', 'JUNGKOOK'
3300;975299286031261696;1190028330315190273;????;Twitter for Android;'?', 'V', 'taehyung', '??', '???', '??', '?????', 'BTS'
3303;2331411432;1190028331825143808;Republic of the Philippines;Twitter for iPhone;'JIMIN', 'BTS'
3312;1167827013081677824;1190028339643371521;Brasil;Twitter for Android;'JIMIN', 'BTS'
3314;41746356;1190028340847169538;United States;Twitter for iPhone;'JIMIN', '??', 'BTS', '?????'
3321;836965327057510400;1190028347029409792;?????????;Twitter for iPhone;'MAMAVOTE', 'bts'
3325;857512065002463232;1190028352133967872;???? ??;Twitter for Android;
3345;1018703712200478721;1190028362145771520;Indonesia;Twitter for Android;'?????', 'BTS', '??', 'JIMIN', 'JM', '??', 'V'
3363;962865654079488000;1190028379539607554;????;Twitter for Android;'halloween2019', 'happpyhalloween', 'BTS'
3387;858283402109239296;1190028397830762496;Indonesia;Twitter for Android;
3430;1090211836778049541;1190028428571009024;Indonesia;Twitter for Android;'?????', '?', '??', 'BTS', 'V', 'TAEHYUNG'
3463;1030647497520119810;1190028451945832449;Seoul, Republic of Korea;Twitter for Android;'MAMAVOTE', 'bts'
3479;840383109463973888;1190028462318407681;Mexico;Twitter for Android;
3487;1015471809926320128;1190028471097004032;Malaysia;Twitter for iPhone;'BTS'
3532;729112918562766848;1190028503024095232;United States;Twitter for iPhone;
3543;1113371325446348800;1190028511718920193;Indonesia;Twitter for Android;'MAMAVOTE', 'BTS'
3557;929716889151873024;1190028522523254784;Indonesia;Twitter for Android;'?', '???', 'BTSV', '??', '???', 'SUGA', 'BTS'
3558;818770836312047616;1190028522942808066;Thailand;Twitter for iPhone;'BTS', 'SUGA', '???', 'SOPE'
3582;4723952000;1190028542211510272;????;Twitter for Android;
3598;996677854111842305;1190028550226636800;??;Twitter for iPhone;
3660;1036418001371901953;1190028599333707777;Mexico;Twitter for iPad;'MAMAVOTE', 'BTS'
3674;1047326847791452160;1190028607789420545;Brasil;Twitter for Android;'BTS', 'MAMAVOTE'
3684;1012221315032289280;1190028615519363072;Indonesia;Twitter for Android;
3716;3020538799;1190028636650385411;Seoul, Republic of Korea;Twitter for Android;
3720;1017016146984235008;1190028640995594240;Malaysia;Twitter for Android;'BTS'
3734;3230494796;1190028651284312071;Malaysia;Twitter for iPhone;'JIMIN'
3738;1067563590977122304;1190028652345483264;Indonesia;Twitter for iPhone;
3774;1065622764101414913;1190028681495793665;??;Twitter for iPhone;'MAMAVOTE', 'bts'
3821;837977257146605568;1190028716094709761;????;Twitter for Android;'??', 'JUNGKOOK', 'RM', 'BTS'
3842;1029748633950806016;1190028729004675072;Republic of the Philippines;Twitter for Android;'?????', 'BTS'
3860;864263203106115584;1190028743290638336;United States;Twitter for iPhone;'BTS'
3873;801985210392965121;1190028750722916352;Mexico;Twitter for Android;'BTS', '?????', 'MakeItRight'
3885;1036765372047867905;1190028759593816064;Mexico;Twitter for Android;'??', 'JIMIN', 'BTS', '?????'
3920;993998866906140672;1190028793446064128;??;Twitter for iPhone;'BTS', 'Lights', 'BoyWithLove'
3928;1023493843017068545;1190028798051401729;Viet Nam;Twitter for Android;'JIMIN', 'BTS'
3950;2398459218;1190028811917840384;Brasil;Twitter for Android;'MAMAVOTE', 'BTS'
